caldt,vwretd,vwretx,totval
19631231,0.021736,0.019978,424618266.00
19640131,0.025790,0.024731,437651545.00
19640228,0.017207,0.012653,444492707.00
19640331,0.017636,0.015967,452022205.00
19640430,0.004608,0.003672,455775656.00
19640528,0.017403,0.012531,461942488.00
19640630,0.015080,0.013413,468073902.00
19640731,0.020118,0.019127,477818842.00
19640831,-0.011266,-0.015575,470305397.00
19640930,0.030480,0.028792,484458915.00
19641030,0.008869,0.007730,487972765.00
19641130,0.003089,-0.002673,484526774.00
19641231,0.003690,0.001939,490134900.00
19650129,0.038646,0.037663,508868132.00
19650226,0.006946,0.002634,510269554.00
19650331,-0.009715,-0.011428,505896929.00
19650430,0.033652,0.032737,522849217.00
19650528,-0.004350,-0.009102,519311933.00
19650630,-0.051868,-0.053591,491607566.00
19650730,0.016759,0.015871,499283225.00
19650831,0.030883,0.026133,512374462.00
19650930,0.031952,0.030357,527974011.00
19651029,0.029271,0.028212,543355237.00
19651130,0.003065,-0.002961,541240233.00
19651231,0.013545,0.011976,552707745.00
19660131,0.012122,0.011231,559237005.00
19660228,-0.008621,-0.013014,551907491.00
19660331,-0.020923,-0.022746,539522772.00
19660429,0.024837,0.023854,552100198.00
19660531,-0.052539,-0.057483,521690192.00
19660630,-0.010317,-0.012063,515842452.00
19660729,-0.012870,-0.013831,509213022.00
19660831,-0.075388,-0.080712,468282312.00
19660930,-0.006958,-0.008695,463864204.00
19661031,0.042294,0.041171,483010860.00
19661130,0.017516,0.010606,488588303.00
19661230,0.006210,0.004409,495609544.00
19670131,0.085530,0.084077,537648696.00
19670228,0.010945,0.006257,542025153.00
19670331,0.043384,0.041582,564273527.00
19670428,0.041609,0.040697,587687580.00
19670531,-0.039293,-0.044217,560452068.00
19670630,0.026903,0.025341,574776952.00
19670731,0.049189,0.048277,601298485.00
19670831,-0.006282,-0.011073,594818903.00
19670929,0.034286,0.032875,613846339.00
19671031,-0.027433,-0.028650,595433236.00
19671130,0.007902,0.002565,597142150.00
19671229,0.033699,0.032203,628636310.00
19680131,-0.036330,-0.037829,603715928.00
19680229,-0.033624,-0.038107,580364417.00
19680329,0.005116,0.003740,583403393.00
19680430,0.094148,0.092730,635671606.00
19680531,0.027041,0.022494,650689814.00
19680628,0.011527,0.010037,657705465.00
19680730,-0.022024,-0.023162,641618415.00
19680830,0.018038,0.013495,652880161.00
19680930,0.044454,0.043207,680737045.00
19681031,0.009041,0.007467,685337172.00
19681129,0.058502,0.054125,724506343.00
19681231,-0.033873,-0.035363,718331607.00
19690131,-0.006711,-0.007725,713793188.00
19690228,-0.053640,-0.057882,673820223.00
19690328,0.030506,0.029062,694302694.00
19690430,0.020526,0.019345,709934873.00
19690529,0.005040,0.000241,709933953.00
19690630,-0.067387,-0.068958,661215317.00
19690731,-0.065172,-0.066373,618817052.00
19690829,0.051490,0.046517,649955591.00
19690930,-0.022590,-0.024167,634452327.00
19691031,0.055638,0.053771,669478907.00
19691128,-0.032164,-0.036678,645502785.00
19691231,-0.019681,-0.021471,641070805.00
19700130,-0.073254,-0.074519,593462115.00
19700227,0.056706,0.051651,626774700.00
19700331,-0.004729,-0.006569,623346402.00
19700430,-0.105318,-0.106393,556437329.00
19700529,-0.064346,-0.069931,517871769.00
19700630,-0.051075,-0.053380,490902596.00
19700731,0.074169,0.072132,529619161.00
19700831,0.050036,0.044584,553710278.00
19700930,0.047536,0.045601,579881242.00
19701030,-0.018208,-0.020450,568663839.00
19701130,0.050448,0.045354,595526498.00
19701231,0.060723,0.058969,639976313.00
19710129,0.052030,0.050772,673192166.00
19710226,0.016913,0.012413,681679062.00
19710331,0.044778,0.042972,712512170.00
19710430,0.033332,0.032300,736103648.00
19710528,-0.036409,-0.040737,707722848.00
19710630,0.003119,0.001385,707866276.00
19710730,-0.040283,-0.041317,680451744.00
19710831,0.042511,0.037666,707452389.00
19710930,-0.005016,-0.006491,703806397.00
19711029,-0.040682,-0.042346,674534869.00
19711130,-0.001262,-0.005696,671737987.00
19711231,0.091257,0.089557,747603983.00
19720131,0.028383,0.027169,768832937.00
19720229,0.031349,0.027272,791278450.00
19720330,0.008722,0.007247,797664613.00
19720428,0.005505,0.004723,802944861.00
19720531,0.016375,0.011960,813025777.00
19720630,-0.020896,-0.022412,796151270.00
19720731,-0.004254,-0.005310,792629676.00
19720831,0.035966,0.031857,819934215.00
19720929,-0.007671,-0.009085,814290246.00
19721031,0.008676,0.007358,820693685.00
19721130,0.049764,0.045305,858343477.00
19721229,0.011243,0.009903,885867836.00
19730131,-0.026083,-0.027319,862331926.00
19730228,-0.042584,-0.046410,822180757.00
19730330,-0.005929,-0.007312,817290822.00
19730430,-0.048023,-0.049232,777666675.00
19730531,-0.021886,-0.026457,758098798.00
19730629,-0.007802,-0.009506,750960407.00
19730731,0.054549,0.053078,791692004.00
19730831,-0.029283,-0.033934,765084532.00
19730928,0.052636,0.051322,805133429.00
19731031,0.000368,-0.001422,804365890.00
