% From WRDS.  Avg bid/ask yld on 1 mo bills
% 
% QDATE       CRSPID_1         AVE_1
%
881130    19890105.400000     6.826
881230    19890202.400000     6.611
890131    19890302.400000     7.883
890228    19890330.400000     7.536
890331    19890504.400000     8.775
890428    19890601.400000     8.561
890531    19890706.400000     8.594
890630    19890803.400000     8.254
890731    19890831.400000     7.843
890831    19891005.400000     7.785
890929    19891102.400000     7.754
891031    19891130.400000     7.689
891130    19900104.400000     7.070
